Brand,Model,Offers,Price (Queen),Mattress Type,Height,Weight,Firmness,Sleep Trial
Charles P. Rogers,St. Regis/St Regis Pulse Latex,BUY NOW,$927*,Hybrid,"13.5""",120 lbs,"5,6",30 nights
Charles P. Rogers,Powercore Estate,BUY NOW,$1519*,Hybrid,"13.5""-15.5""",112 lbs,"4, 5.5, 6",30 nights
Charles P. Rogers,Powercore Nano,BUY NOW,$1999*,Hybrid,"14.25""-15.75""",115 lbs,"4.5, 5",30 nights
Classic Brands,Innerspring,BUY NOW,N/A,Innerspring,"7""-10""",N/A,,None
Classic Brands,Hybrid,BUY NOW,N/A,Hybrid,"10.5""-14""",55-106 lbs (80.5 avg),,None
Classic Brands,Latex,BUY NOW,N/A,Latex,"11""",85 lbs,,None
Classic Brands,Memory Foam,BUY NOW,N/A,Foam,"6""-12""",45-92 lbs,,None
Cocoon by Sealy,Cocoon Chill,$100 OFF,849,Foam,"10""",64.4 lbs,"4, 6",100 nights
Cocoon by Sealy,Cocoon Classic,$100 OFF,799,Foam,"10""",64.4lbs,"4, 6",100 nights
Comfortaire,Genesis,BUY NOW,$1299*,Air,"10""-13""",N/A,,100 nights
Corsicana,Foam,BUY NOW,356,Foam,"8.5""",85lbs,,N/A
Corsicana,Coil,BUY NOW,$363*,Coil,"9.5""-15""",Varies,,N/A
Craft,Craft Mattress,BUY NOW,1400,Foam,"13.5""",130 lbs.,Multiple firmness options,100 nights
Craftmatic,,$50 OFF,N/A,Innersping,N/A,Varies,,30 nights
Craftmatic,Memory Foam,$50 OFF,N/A,Foam,"8-12""",Varies,,30 nights
Crave,"Luxury Firm Firm Foam, Medium Firm Foam",$50 OFF,$595*,Foam,"10""-12""",N/A,,100 nights
Crave,"Ultra Plush Hybrid Innerspring, Luxury Firm Hybrid Innerspring",$50 OFF,$950*,Hybrid,"9""-10""",N/A,,100 nights
Denver Mattress,Innerspring,BUY NOW,$250*,Innerspring,"7.5""-13""",Varies,"4,5.5,6.5,7.5",365 nights
Denver Mattress,Hybrid,BUY NOW,$300*,Hybrid,"11.5"" - 14""",Varies,"4,5.5,6.5,7.7.5",365 nights
Denver Mattress,Latex,BUY NOW,$2800*,Latex,"8"" - 10.5""",Varies,"4, 5.5, 6.5",365 nights
Diamond Mattress,Intention Hybrid,BUY NOW,1399,Hybrid,"14""",80 lbs (Queen),5,120 Nights
Diamond Mattress,CoolTouch Classic,BUY NOW,N/A,Foam,"8""-12""",Varies,,None
Diamond Mattress,CoolTouch Gel,BUY NOW,N/A,Foam,"10.5""-14.5""",Varies,,None
Diamond Mattress,Ethos Natural,BUY NOW,N/A,Foam,"10.5""-13""",Varies,,None
Diamond Mattress,Ethos Hybrid,BUY NOW,N/A,Hybrid,"13""-18""",Varies,,None
Dormeo,,BUY NOW,N/A,Foam,"10""-15.5""",N/A,,N/A
Doze,,BUY NOW,750,Foam,"10""",80 lbs,7,75 nights
Dreamfoam Bedding,Arctic Dreams,$50 OFF,$229*,Foam,"8-12""",Varies,,90 nights
Dreamfoam Bedding,Latex,$50 OFF,$599*,Latex,"10-14""",Varies,,90 nights
Dreamfoam Bedding,Memory Foam,$50 OFF,$499*,Foam,"10-13""",Varies,,90 nights
Dromma,,BUY NOW,924,Latex,"12""",95 lbs,"4.5, 6",200 nights
Duxiana,1001,BUY NOW,$3445*,Hybrid,"12.75""",N/A,,None
Duxiana,3003,BUY NOW,$4445*,Hybrid,"16""",N/A,,None
Duxiana,6006,BUY NOW,$6020*,Hybrid,"20""",N/A,,None
Duxiana,8008,BUY NOW,$7590*,Hybrid,"20""",N/A,,None
Easy Rest,Classic,$50 OFF,N/A,Innerspring,"8""",N/A,,N/A
Easy Rest,Economy,$50 OFF,N/A,Foam,"4""",N/A,,N/A
Easy Rest,Harmony,$50 OFF,N/A,Innerspring,"13""",N/A,,N/A
Easy Rest,Platinum,$50 OFF,N/A,Innerspring,"12""",N/A,,N/A
Easy Rest,Premier,$50 OFF,N/A,Innerspring,"11""",N/A,,N/A
Eclipse,,$50 OFF,N/A,Innerspring,Varies,N/A,,N/A
Ecosa,Ecosa Mattress,BUY NOW,730,Foam,"10""",77 lbs.,"5,6,7",100 nights
Ecosleep,EcoSleep Hybrid,20% OFF,1249,Hybrid,"11.5""",110 lbs.,"Side 1: 6, Side 2: 7",120 nights
Eight,Saturn,$50 OFF,599,Foam,"10""",N/A,6.5,100 nights
Eight,Smart Bed,$50 OFF,995,Foam,"10""",80 lbs.,6.5,100 nights
Eight,Venus+,$50 OFF,1449,Hybrid,"11""",N/A,4.5,100 nights
eLuxury,"10"" Gel Memory Foam",BUY NOW,544,Foam,"10""",75 lbs,6.5,120 nights
eLuxury,"12"" Latex and Memory Foam Hybrid",BUY NOW,1000,Foam,"12""",96 lbs,5.5,120 nights
Emma,Emma Mattress,30% OFF,899,Foam,"12""",58 lbs.,6,100 nights
Endy,Endy Mattress,$50 OFF,850,Foam,"10""",70 lbs,6,100 nights
Englander,ViscoPedic,BUY NOW,$900*,Foam,"9-12""",NA,,None
Englander,E-gel,BUY NOW,N/A,Foam,N/A,N/A,N/A,None
Englander,Hotel E Collection,BUY NOW,N/A,Innerspring,N/A,N/A,N/A,None
Englander,Hybrid,BUY NOW,N/A,Foam,N/A,N/A,N/A,None
Englander,Nature's Finest,BUY NOW,$2100*,Latex,"10""",38 lbs,,None
Englander,Tension Ease,BUY NOW,N/A,Innerspring,N/A,N/A,N/A,None
Essentia,Beausommet,BUY NOW,5522,Latex,"8""",N/A,6.5,60 nights
Essentia,Energie Opus,BUY NOW,4350,Latex,"8""",N/A,5,60 nights
Essentia,Stratami,BUY NOW,2871,Latex,"8""",N/A,6.5,60 nights
Essentia,Bionda,BUY NOW,1945,Latex,"8""",N/A,4.5,60 nights
Essentia,Classic 8,BUY NOW,3395,Latex,"8""",N/A,6,60 nights
Essentia,Dormeuse,BUY NOW,5965,Latex,"8""",N/A,4,60 nights
Essentia,Dormeuse Fior,BUY NOW,6526,Latex,"8""",N/A,4,60 nights
Essentia,Tatami,BUY NOW,2449,Latex,"8""",99 lbs.,7,120 nights
Ethan Allen,Contempo,BUY NOW,899,Innerspring,"8""",N/A,,None
Ethan Allen,Signature,BUY NOW,1999,Innerspring,"11.5""",N/A,"3, 4, 7",None
Ethan Allen,Splendor,BUY NOW,2999,Innerspring,"14.5""",N/A,,None
Ethan Allen,Luna,BUY NOW,2999,Foam,"13.5""",N/A,,None
Ethan Allen,Profile,BUY NOW,1999,Foam,"13.5""",N/A,,None
Ethan Allen,Stellar,BUY NOW,1299,Hybrid,"10.5""",N/A,,None
Eve,eve mattress,BUY NOW,899,Foam,"10""",91lbs,6,100 nights
Floyd,Floyd Mattress,BUY NOW,$1095*,Hybrid,"10""",98 lbs,6.5,30 nights
Freya by Brooklyn Bedding,Freya,20% OFF,1999,Hybrid,"13.5""",90 lbs.,5,120 nights
GhostBed,GhostBed,$100 OFF,895,Latex,"11""",89lbs,6,101 nights
GhostBed,GhostBed Flex,$100 OFF,1285,Hybrid,"13""",122 lbs,6,101 nights
GhostBed,GhostBed Luxe,$100 OFF,1375,Foam,"13""",122 lbs,5,101 nights
Hampton & Rhodes,Aruba,BUY NOW,599,Hybrid,"14""",N/A,3.5,100 nights
Hampton & Rhodes,Cool Gel,BUY NOW,499,Foam,"8""",N/A,6,100 nights
Hampton & Rhodes,HR100,BUY NOW,110,Innerspring,"6.5""",N/A,7,100 nights
Hampton & Rhodes,HR200,BUY NOW,210,Innerspring,"7.5""",N/A,6,100 nights
Hampton & Rhodes,HR300,BUY NOW,360,Foam,"9""",N/A,6,100 nights
Hampton & Rhodes,HR320,BUY NOW,410,Innerspring,"10""",N/A,7,100 nights
Hampton & Rhodes,HR340,BUY NOW,360,Innerspring,"10.5""",N/A,6,100 nights
Hampton & Rhodes,HR400,BUY NOW,460,Innerspring,"11.5""",N/A,7,100 nights
Hampton & Rhodes,HR440,BUY NOW,610,Innerspring,"12.5""",N/A,6,100 nights
Hampton & Rhodes,HR500,BUY NOW,510,Foam,"10.75""",N/A,4,100 nights
Hampton & Rhodes,San Martin,BUY NOW,499,Hybrid,"12""",N/A,4,100 nights
Hampton & Rhodes,Trinidad,BUY NOW,369,Hybrid,"10.5""",N/A,6,100 nights
Hampton & Rhodes,Two-Sided,BUY NOW,329,Foam,"10""",N/A,4,100 nights
Happsy,Happsy Mattress,BUY NOW,1399,Hybrid,"10""",103 lbs,"6.5, 4.5",120 nights
Helix Sleep,Helix Dawn Luxe,$125 OFF,1599,Hybrid,"14""",120 lbs (Queen),7,100 nights
Helix Sleep,Helix Dual Balanced,$75 OFF,1115,Hybrid,"10""",90-100 lbs (Queen),"3.5, 7",100 nights
Helix Sleep,Helix Dual Extra,$75 OFF,1115,Hybrid,"10""",90-100 lbs (Queen),"3.5, 7",100 nights
Helix Sleep,Helix Dusk Luxe,$125 OFF,1599,Hybrid,"14""",120 lbs (Queen),5.5,100 nights
Helix Sleep,Helix Midnight Luxe,$125 OFF,1599,Hybrid,"14""",120 lbs (Queen),5.5,100 nights
Helix Sleep,Helix Moonlight Luxe,$125 OFF,1599,Hybrid,"14""",120 lbs (Queen),4,100 nights
Helix Sleep,Helix Sunset,$75 OFF,899,Hybrid,"12""",90-100 lbs (Queen),3.5,100 nights
Helix Sleep,Helix Sunset Luxe,$125 OFF,1599,Hybrid,"14""",120 lbs (Queen),4,100 nights
Helix Sleep,Helix Twilight Luxe,$125 OFF,1599,Hybrid,"14""",120 lbs (Queen),7,100 nights
Hyphen,Hyphen Mattress,BUY NOW,799,Foam,"10""",73 lbs,6,100 nights
Hypnos,,$50 OFF,N/A,Innerspring,Varies,Varies,,N/A
Idle Sleep,IDLE Double Sided Hybrid,$275 OFF,1224,Foam,"14""",130 lbs.,"6, 8",120 nights
Ikea,Hasvag,BUY NOW,199,Innerspring,"8.25""",57lbs,6,None
Ikea,Hasvag,BUY NOW,199,Innerspring,"8.25""",46 lbs,6,365 nights
Ikea,Haugesund,BUY NOW,249,Innerspring,"9.875""",59 lbs 8 oz,"6, 8",365 nights
Ikea,Haugsvar,BUY NOW,399,Innerspring,"11""",83 lbs 12 oz,"5.5, 7.5",365 nights
Ikea,Hesstun,BUY NOW,499,Innerspring,"12.625""",99 lbs 3 oz.,"5, 8",365 nights
Ikea,Hjellestad,BUY NOW,699,Hybrid,"15.375""",97 lbs 13 oz,5.5,365 nights
Ikea,Holmsbu,BUY NOW,899,Hybrid,"17.75""",134 lbs,7,365 nights
Ikea,Matrand(Latex),BUY NOW,399,Latex,"7.125""",84 lbs,6,365 nights
Ikea,Matrand(Memory Foam),BUY NOW,399,Foam,"7.125""",57 lbs 5 oz,6,365 nights
Ikea,Meistervik,BUY NOW,229,Foam,"4.75""",30lbs 14 Oz,6,365 nights
Ikea,Minnesund,BUY NOW,179,Foam,"3.85""",24 lbs,6,365 nights
Ikea,Morgedal,BUY NOW,299,Foam,"7.1""",46 lbs 5 oz.,"6,8",365 nights
Ikea,Morgongava,BUY NOW,999,Latex,"7.875""",103 lbs,5,365 nights
Ikea,Myrbacka(Latex),BUY NOW,499,Latex,"9.5""",91 lbs,7,365 nights
Ikea,Myrbacka(Memory Foam),BUY NOW,499,Foam,"9.5""",68 lbs,6,365 nights
Intellibed,Numea Azure,BUY NOW,3799,Hybrid,"12""",N/A,6.5,60 Night
Intellibed,Numea Indigo,BUY NOW,5499,Hybrid,"15""",N/A,4.5,60 Night
Intellibed,Numea Sapphire,BUY NOW,4199,Hybrid,"13""",N/A,5.5,60 Night
Jazvin,,BUY NOW,1050,Foam,"11""",83 lbs,,100 nights
Joybed,Joybed LX,BUY NOW,960,Hybrid,"11""",78 lbs.,7,120 nights
Joybed,Joybed LXC,BUY NOW,1090,Hybrid,"12""",96 lbs.,6,120 nights
Joybed,Joybed LXP,BUY NOW,1190,Hybrid,"13""",117 lbs.,4,120 nights
Keetsa,Cloud,BUY NOW,940,Foam,"10""",90 lbs,6.5,90 nights
Keetsa,Pillow Plus,BUY NOW,835,Hybrid,"11""",110 lbs,5.5,90 nights
Keetsa,Plus,BUY NOW,730,Hybrid,"9""",90 lbs,7.5,90 nights
Keetsa,Tea Leaf Classic,BUY NOW,1465,Hybrid,"13""",130 lbs,6.5,90 nights
Keetsa,Tea Leaf Dream,BUY NOW,2310,Hybrid,"14""",150 lbs,4.5,90 nights
Keetsa,Tea Leaf Supreme,BUY NOW,1570,Foam,"12""",120 lbs,4.5,90 nights
King Koil,iMattress,BUY NOW,$1424*,Hybrid and Foam,N/A,N/A,"4, 5.5",None
King Koil,World Edition,BUY NOW,$979*,Foam,"11.5"" to 13""",N/A,"3, 4, 5.5, 7",None
King Koil,World Extended Life,BUY NOW,1999,Hybrid,"13.5""",N/A,"5.5, 7",None
King Koil,World Luxury,BUY NOW,$1482*,Innerspring and Hybrid,"12"" to 14.5""",N/A,"3, 4, 5.5",None
King Koil,World Luxury Intimate,BUY NOW,$2999*,Hybrid,N/A,N/A,"4, 5.5",None
Kingsdown,Intelligent,BUY NOW,N/A,Airbed,N/A,N/A,,None
Kingsdown,Latex,BUY NOW,N/A,Latex,N/A,N/A,,None
Kingsdown,Memory Foam,BUY NOW,N/A,Foam,N/A,N/A,,None
Kingsdown,Hybrid,BUY NOW,N/A,Hybrid,N/A,N/A,,None
Kingsdown,Innerspring,BUY NOW,N/A,Innerspring,N/A,N/A,,None
Kluft,Beyond Luxury,BUY NOW,N/A,Hybrid,N/A,N/A,,N/A
Kluft,Royal Sovereign,BUY NOW,N/A,Hybrid,N/A,N/A,,N/A
Kluft,Royal Sovereign Latex,BUY NOW,N/A,Latex,N/A,N/A,,N/A
Kluft,Signature,BUY NOW,N/A,Hybrid,N/A,N/A,,N/A
Layla,Layla Hybrid,$210 OFF,1599,Hybrid,"13""",115 lbs (Queen),"5, 7",120 nights
Leesa,Leesa Legend,BUY NOW,$2399*,Hybrid,"12""",119 lbs,6.5,100 nights
Linenspa,12-Inch Gel Memory Foam Hybrid,BUY NOW,540,Hybrid,"12""",92 lbs.,3.5,30 nights
Linenspa,6-Inch Innerspring,BUY NOW,175,Innerspring,"6""",78 lbs.,7.5,30 nights
Linenspa,10-Inch Latex Hybrid,BUY NOW,405,Hybrid,"10""",82 lbs.,6.5,30 nights
Linenspa,"8-Inch Memory Foam Hybrid, 10-Inch Memory Foam Hybrid",BUY NOW,$245*,Innerspring,"8"", 10""",60-72 lbs.,"5.5, 6.5",30 nights
Live and Sleep,Live & Sleep Mattress,BUY NOW,799,Foam,"12""",76 lbs,5,100 nights
Lucid,Lucid Hybrid,BUY NOW,$530*,Hybrid,"10-12""",89.5 lbs,"4.5, 6.5",30 nights
Lucid,Lucid Latex,BUY NOW,$550*,Latex,"10""",84 lbs,6.5,30 nights
Lucid,Lucid Latex & Memory Foam,BUY NOW,$900*,Foam,"16""",115 lbs,3.5,30 nights
Lucid,Lucid Memory Foam,BUY NOW,$275*,Foam,"6""-14""",61.5 lbs (avg,3.5-7.5,30 nights
Luft,The Luft Bed,BUY NOW,1099,Hybrid,"13.5""",100-150 lbs.,"4,6,7",100 nights
Lull,Lull Mattress,$150 OFF,800,Foam,"10""",69 lbs,6.5,100 nights
Luma Sleep,All Latex Slumber System,BUY NOW,1995,Latex,"11""",169 lbs.,"3.5,6,7.5",100 nights
